year_month,refi_asian,refi_black,refi_hisp_white
2018m1,6608,10199,11066
2018m2,5898,9355,10201
2018m3,5909,9235,10509
2018m4,5353,8525,9980
2018m5,5170,8426,9741
2018m6,4565,7503,8682
2018m7,4489,7639,8445
2018m8,4841,8758,9343
2018m9,4041,7216,7953
2018m10,4809,8460,9091
2018m11,3813,6913,7232
2018m12,3810,7039,7319
2019m1,4304,6938,6760
2019m2,5944,7597,7800
2019m3,7210,9047,9451
2019m4,9877,10294,11725
2019m5,11832,11408,12996
2019m6,10399,11004,12780
2019m7,15290,14065,16796
2019m8,17355,16325,19341
2019m9,21588,17845,22289
2019m10,23969,20132,25156
2019m11,19232,18338,21677
2019m12,19490,19264,22649
2020m1,18077,19101,20085
2020m2,22270,19749,21814
2020m3,30153,22726,27518
2020m4,35104,24148,31681
2020m5,36775,26172,33459
2020m6,47010,29178,38214
2020m7,50908,29109,37946
2020m8,54218,29841,38202
2020m9,59032,30493,39652
2020m10,62947,33619,43981
2020m11,53940,32832,41755
2020m12,55588,35692,43760
2021m1,56464,34782,41667
2021m2,58129,36756,44053
2021m3,59697,44007,52492
2021m4,40367,36468,42580
2021m5,32420,32613,37142
2021m6,33514,34604,39045
2021m7,28629,31666,34482
2021m8,38344,35166,38254
2021m9,35566,33779,37054
2021m10,30252,33993,35074
2021m11,24641,31127,32403
2021m12,20638,28473,29357
2022m1,17721,25618,24751
2022m2,13471,22762,22492
2022m3,11583,23000,23037
2022m4,7136,17315,16593
2022m5,4552,12641,11044
2022m6,3338,10389,7928
2022m7,2370,8819,6539
2022m8,2528,9572,6571
2022m9,1969,8055,5339
2022m10,1520,6627,4225
2022m11,1157,4787,2987
2022m12,1044,4153,2796
